team,year,gained_air,gained_after_catch,lost_air,lost_after_catch
GB,2019,1239.0,744.0,1486.0,766.0
CHI,2019,1729.0,696.0,1491.0,558.0
CAR,2019,1498.0,667.0,1764.0,845.0
LA,2019,1782.0,1422.0,1530.0,820.0
WAS,2019,1443.0,594.0,1490.0,667.0
PHI,2019,1005.0,301.0,1745.0,695.0
BUF,2019,1433.0,792.0,1424.0,677.0
NYJ,2019,1334.0,739.0,1396.0,700.0
MIN,2019,1133.0,481.0,1692.0,622.0
ATL,2019,2355.0,859.0,1553.0,887.0
MIA,2019,1827.0,734.0,1831.0,716.0
BAL,2019,958.0,434.0,1455.0,947.0
KC,2019,1548.0,978.0,1115.0,576.0
JAX,2019,1543.0,900.0,1381.0,1002.0
CLE,2019,1631.0,833.0,1400.0,732.0
TEN,2019,1474.0,898.0,1561.0,756.0
LAC,2019,1751.0,611.0,1322.0,639.0
IND,2019,534.0,406.0,1606.0,654.0
CIN,2019,1652.0,1086.0,1456.0,955.0
SEA,2019,1643.0,698.0,1486.0,820.0
SF,2019,1241.0,881.0,1002.0,908.0
TB,2019,2207.0,963.0,1880.0,807.0
DAL,2019,2357.0,1057.0,1227.0,695.0
NYG,2019,844.0,316.0,1686.0,760.0
DET,2019,2030.0,617.0,1859.0,652.0
ARI,2019,1244.0,837.0,1549.0,976.0
PIT,2019,1358.0,743.0,1379.0,622.0
NE,2019,1706.0,717.0,1139.0,620.0
NO,2019,1621.0,783.0,1591.0,764.0
HOU,2019,1855.0,957.0,1587.0,702.0
OAK,2019,896.0,611.0,1560.0,789.0
DEN,2019,1178.0,598.0,1406.0,624.0
ATL,2018,2321.0,1360.0,1816.0,862.0
PHI,2018,1407.0,874.0,2070.0,1012.0
BAL,2018,1551.0,634.0,1492.0,747.0
BUF,2018,1444.0,545.0,1259.0,614.0
JAX,2018,1300.0,812.0,1330.0,768.0
NYG,2018,1871.0,741.0,1662.0,961.0
NO,2018,1733.0,788.0,2289.0,1056.0
TB,2018,2862.0,1151.0,1742.0,897.0
NE,2018,1572.0,1067.0,1739.0,803.0
HOU,2018,1948.0,1079.0,1752.0,899.0
MIN,2018,1943.0,1046.0,1370.0,673.0
SF,2018,1202.0,778.0,1710.0,822.0
TEN,2018,1269.0,598.0,1868.0,801.0
MIA,2018,1284.0,963.0,1525.0,1029.0
CIN,2018,1553.0,753.0,1840.0,870.0
IND,2018,1790.0,973.0,1178.0,815.0
PIT,2018,1927.0,1332.0,1844.0,807.0
CLE,2018,1884.0,814.0,1676.0,961.0
LAC,2018,1921.0,778.0,1482.0,687.0
KC,2018,1631.0,1073.0,1951.0,817.0
DEN,2018,1800.0,779.0,1603.0,895.0
SEA,2018,1692.0,522.0,1585.0,915.0
DAL,2018,1656.0,879.0,1676.0,607.0
CAR,2018,1621.0,855.0,1750.0,955.0
WAS,2018,1156.0,538.0,1561.0,1101.0
ARI,2018,1284.0,522.0,1479.0,905.0
CHI,2018,1440.0,666.0,1661.0,940.0
GB,2018,1934.0,1172.0,1773.0,907.0
NYJ,2018,1380.0,690.0,2018.0,1201.0
DET,2018,1626.0,993.0,1769.0,746.0
OAK,2018,1297.0,819.0,1401.0,834.0
LA,2018,2223.0,1203.0,1651.0,890.0
NE,2017,1717.0,680.0,1774.0,1055.0
KC,2017,1336.0,949.0,1674.0,846.0
NYJ,2017,1534.0,721.0,1724.0,585.0
BUF,2017,1117.0,357.0,1446.0,820.0
WAS,2017,1413.0,829.0,1410.0,705.0
PHI,2017,1398.0,597.0,1436.0,1038.0
OAK,2017,1469.0,807.0,1648.0,680.0
TEN,2017,1410.0,567.0,1556.0,711.0
JAX,2017,1502.0,920.0,1328.0,393.0
HOU,2017,1719.0,690.0,1698.0,844.0
ARI,2017,1869.0,668.0,1594.0,709.0
DET,2017,1930.0,1094.0,1569.0,889.0
PIT,2017,2078.0,1194.0,1490.0,628.0
CLE,2017,1170.0,526.0,1275.0,907.0
ATL,2017,1812.0,1036.0,1434.0,705.0
CHI,2017,1167.0,341.0,1500.0,689.0
BAL,2017,1335.0,399.0,1616.0,608.0
CIN,2017,1409.0,685.0,1255.0,647.0
LA,2017,1524.0,1048.0,1515.0,796.0
IND,2017,1240.0,534.0,1835.0,760.0
SF,2017,1752.0,778.0,1841.0,637.0
CAR,2017,1284.0,638.0,1718.0,985.0
GB,2017,1354.0,1042.0,1732.0,843.0
SEA,2017,1801.0,632.0,1722.0,714.0
DAL,2017,1415.0,699.0,1352.0,827.0
NYG,2017,1384.0,639.0,1421.0,1026.0
NO,2017,1650.0,958.0,1476.0,983.0
MIN,2017,1678.0,924.0,1600.0,603.0
DEN,2017,1620.0,692.0,1194.0,658.0
LAC,2017,1747.0,1045.0,1201.0,674.0
TB,2017,2123.0,819.0,2038.0,862.0
MIA,2017,1757.0,1019.0,1411.0,626.0
